 TITLE = "Observations"
 VARIABLES = "i" "time" "ave" "std" 
 ZONE T="Observed deaths 001"  F=POINT, I=  430, J=1, K=1
   17   48     6507.0000      325.3500
   19   49     7560.0000      378.0000
   21   50     8078.0000      403.9000
   23   51     8911.0000      445.5500
   25   52    10328.0000      516.4000
   27   53    10869.0000      543.4500
   29   54    12210.0000      610.5000
   31   55    13197.0000      659.8500
   33   56    13832.0000      691.6000
   35   57    14393.0000      719.6500
   37   58    14967.0000      748.3500
   39   59    15729.0000      786.4500
   41   60    17167.0000      858.3500
   43   61    17913.0000      895.6500
   45   62    18673.0000      933.6500
   47   63    19315.0000      965.7500
   49   64    19710.0000      985.5000
   51   65    20257.0000     1012.8500
   53   66    20788.0000     1039.4000
   55   67    21329.0000     1066.4500
   57   68    21845.0000     1092.2500
   59   69    22234.0000     1111.7000
   61   70    22603.0000     1130.1500
   63   71    22845.0000     1142.2500
   65   72    23282.0000     1164.1000
   67   73    23526.0000     1176.3000
   69   74    24075.0000     1203.7500
   71   75    24363.0000     1218.1500
   73   76    24575.0000     1228.7500
   75   77    24741.0000     1237.0500
   77   78    24876.0000     1243.8000
   79   79    25182.0000     1259.1000
   81   80    25512.0000     1275.6000
   83   81    25790.0000     1289.5000
   85   82    25968.0000     1298.4000
   87   83    26211.0000     1310.5500
   89   84    26291.0000     1314.5500
   91   85    26361.0000     1318.0500
   93   86    26624.0000     1331.2000
   95   87    26972.0000     1348.6000
   97   88    27055.0000     1352.7500
   99   89    27406.0000     1370.3000
  101   90    27510.0000     1375.5000
  103   91    27606.0000     1380.3000
  105   92    28089.0000     1404.4500
  107   93    28220.0000     1411.0000
  109   94    28003.0000     1400.1500
  111   95    28113.0000     1405.6500
  113   96    28196.0000     1409.8000
  115   97    28270.0000     1413.5000
  117   98    28313.0000     1415.6500
  119   99    28348.0000     1417.4000
  121  100    28413.0000     1420.6500
  123  101    28510.0000     1425.5000
  125  102    28576.0000     1428.8000
  127  103    28642.0000     1432.1000
  129  104    28694.0000     1434.7000
  131  105    28751.0000     1437.5500
  133  106    28782.0000     1439.1000
  135  107    28813.0000     1440.6500
  137  108    28920.0000     1446.0000
  139  109    29001.0000     1450.0500
  141  110    29045.0000     1452.2500
  143  111    29091.0000     1454.5500
  145  112    29122.0000     1456.1000
  147  113    29135.0000     1456.7500
  149  114    29189.0000     1459.4500
  151  115    29276.0000     1463.8000
  153  116    29299.0000     1464.9500
  155  117    29326.0000     1466.3000
  157  118    29354.0000     1467.7000
  159  119    29378.0000     1468.9000
  161  120    29387.0000     1469.3500
  163  121    29416.0000     1470.8000
  165  122    29527.0000     1476.3500
  167  123    29555.0000     1477.7500
  169  124    29583.0000     1479.1500
  171  125    29597.0000     1479.8500
  173  126    29613.0000     1480.6500
  175  127    29620.0000     1481.0000
  177  128    29643.0000     1482.1500
  179  129    29700.0000     1485.0000
  181  130    29711.0000     1485.5500
  183  131    29732.0000     1486.6000
  185  132    29758.0000     1487.9000
  187  133    29773.0000     1488.6500
  189  134    29775.0000     1488.7500
  191  135    29793.0000     1489.6500
  193  136    29823.0000     1491.1500
  195  137    29841.0000     1492.0500
  197  138    29855.0000     1492.7500
  199  139    29873.0000     1493.6500
  201  140    29885.0000     1494.2500
  203  141    29887.0000     1494.3500
  205  142    29900.0000     1495.0000
  207  143    29913.0000     1495.6500
  209  144    29945.0000     1497.2500
  211  145    29959.0000     1497.9500
  213  146    29984.0000     1499.2000
  215  147    29990.0000     1499.5000
  217  148    29991.0000     1499.5500
  219  149    30009.0000     1500.4500
  221  150    30015.0000     1500.7500
  223  151    30100.0000     1505.0000
  225  152    30118.0000     1505.9000
  227  153    30132.0000     1506.6000
  229  154    30140.0000     1507.0000
  231  155    30141.0000     1507.0500
  233  156    30157.0000     1507.8500
  235  157    30145.0000     1507.2500
  237  158    30152.0000     1507.6000
  239  159    30162.0000     1508.1000
  241  160    30172.0000     1508.6000
  243  161    30180.0000     1509.0000
  245  162    30181.0000     1509.0500
  247  163    30189.0000     1509.4500
  249  164    30203.0000     1510.1500
  251  165    30218.0000     1510.9000
  253  166    30234.0000     1511.7000
  255  167    30245.0000     1512.2500
  257  168    30251.0000     1512.5500
  259  169    30252.0000     1512.6000
  261  170    30274.0000     1513.7000
  263  171    30276.0000     1513.8000
  265  172    30285.0000     1514.2500
  267  173    30292.0000     1514.6000
  269  174    30304.0000     1515.2000
  271  175    30306.0000     1515.3000
  273  176    30306.0000     1515.3000
  275  177    30320.0000     1516.0000
  277  178    30334.0000     1516.7000
  279  179    30351.0000     1517.5500
  281  180    30368.0000     1518.4000
  283  181    30386.0000     1519.3000
  285  182    30389.0000     1519.4500
  287  183    30390.0000     1519.5000
  289  184    30409.0000     1520.4500
  291  185    30431.0000     1521.5500
  293  186    30448.0000     1522.4000
  295  187    30460.0000     1523.0000
  297  188    30483.0000     1524.1500
  299  189    30491.0000     1524.5500
  301  190    30492.0000     1524.6000
  303  191    30507.0000     1525.3500
  305  192    30522.0000     1526.1000
  307  193    30540.0000     1527.0000
  309  194    30552.0000     1527.6000
  311  195    30572.0000     1528.6000
  313  196    30578.0000     1528.9000
  315  197    30582.0000     1529.1000
  317  198    30611.0000     1530.5500
  319  199    30637.0000     1531.8500
  321  200    30662.0000     1533.1000
  323  201    30682.0000     1534.1000
  325  202    30662.0000     1533.1000
  327  203    30674.0000     1533.7000
  329  204    30677.0000     1533.8500
  331  205    30702.0000     1535.1000
  333  206    30740.0000     1537.0000
  335  207    30770.0000     1538.5000
  337  208    30789.0000     1539.4500
  339  209    30869.0000     1543.4500
  341  210    30886.0000     1544.3000
  343  211    30892.0000     1544.6000
  345  212    30926.0000     1546.3000
  347  213    30975.0000     1548.7500
  349  214    31021.0000     1551.0500
  351  215    31071.0000     1553.5500
  353  216    31225.0000     1561.2500
  355  217    31250.0000     1562.5000
  357  218    31261.0000     1563.0500
  359  219    31314.0000     1565.7000
  361  220    31392.0000     1569.6000
  363  221    31435.0000     1571.7500
  365  222    31487.0000     1574.3500
  367  223    31637.0000     1581.8500
  369  224    31676.0000     1583.8000
  371  225    31703.0000     1585.1500
  373  226    31784.0000     1589.2000
  375  227    31869.0000     1593.4500
  377  228    31932.0000     1596.6000
  379  229    31995.0000     1599.7500
  381  230    32131.0000     1606.5500
  383  231    32174.0000     1608.7000
  385  232    32206.0000     1610.3000
  387  233    32275.0000     1613.7500
  389  234    32341.0000     1617.0500
  391  235    32421.0000     1621.0500
  393  236    32497.0000     1624.8500
  395  237    32606.0000     1630.3000
  397  238    32660.0000     1633.0000
  399  239    32706.0000     1635.3000
  401  240    32801.0000     1640.0500
  403  241    32909.0000     1645.4500
  405  242    33013.0000     1650.6500
  407  243    33101.0000     1655.0500
  409  244    33279.0000     1663.9500
  411  245    33368.0000     1668.4000
  413  246    33453.0000     1672.6500
  415  247    33599.0000     1679.9500
  417  248    33861.0000     1693.0500
  419  249    34024.0000     1701.2000
  421  250    34186.0000     1709.3000
  423  251    34484.0000     1724.2000
  425  252    34621.0000     1731.0500
  427  253    34737.0000     1736.8500
  429  254    34994.0000     1749.7000
  431  255    35517.0000     1775.8500
  433  256    35761.0000     1788.0500
  435  257    35996.0000     1799.8000
  437  258    36541.0000     1827.0500
  439  259    36764.0000     1838.2000
  441  260    36995.0000     1849.7500
  443  261    37411.0000     1870.5500
  445  262    38265.0000     1913.2500
  447  263    38650.0000     1932.5000
  449  264    39013.0000     1950.6500
  451  265    39841.0000     1992.0500
  453  266    40145.0000     2000.0000
  455  267    40415.0000     2000.0000
  457  268    40963.0000     2000.0000
  459  269    42183.0000     2000.0000
  461  270    42511.0000     2000.0000
  463  271    42936.0000     2000.0000
  465  272    43868.0000     2000.0000
  467  273    44222.0000     2000.0000
  469  274    44524.0000     2000.0000
  471  275    45030.0000     2000.0000
  473  276    46249.0000     2000.0000
  475  277    46674.0000     2000.0000
  477  278    47103.0000     2000.0000
  479  279    48241.0000     2000.0000
  481  280    48494.0000     2000.0000
  483  281    48708.0000     2000.0000
  485  282    49208.0000     2000.0000
  487  283    50212.0000     2000.0000
  489  284    50593.0000     2000.0000
  491  285    50932.0000     2000.0000
  493  286    51889.0000     2000.0000
  495  287    52102.0000     2000.0000
  497  288    52300.0000     2000.0000
  499  289    52706.0000     2000.0000
  501  290    53481.0000     2000.0000
  503  291    53790.0000     2000.0000
  505  292    54114.0000     2000.0000
  507  293    54741.0000     2000.0000
  509  294    54955.0000     2000.0000
  511  295    55129.0000     2000.0000
